source_university,yop_kodu,year,il,tercih_sayisi
halic,201910015,2024,ESKİŞEHİR,1
halic,201910015,2024,İSTANBUL,3
halic,201910024,2022,BURSA,1
halic,201910024,2022,ÇANAKKALE,1
halic,201910024,2022,EDİRNE,1
halic,201910024,2022,İSTANBUL,113
halic,201910024,2022,İZMİR,3
halic,201910024,2022,KOCAELİ,1
halic,201910024,2022,TEKİRDAĞ,1
halic,201910024,2023,ANKARA,14
halic,201910024,2023,ÇANAKKALE,1
halic,201910024,2023,EDİRNE,1
halic,201910024,2023,İSTANBUL,89
halic,201910024,2023,İZMİR,3
halic,201910024,2023,KIRKLARELİ,1
halic,201910024,2023,KOCAELİ,1
halic,201910024,2023,MERSİN,2
halic,201910024,2023,TEKİRDAĞ,1
halic,201910024,2024,AMASYA,1
halic,201910024,2024,ANKARA,8
halic,201910024,2024,ANTALYA,4
halic,201910024,2024,AYDIN,3
halic,201910024,2024,BALIKESİR,1
halic,201910024,2024,BOLU,2
halic,201910024,2024,ÇANAKKALE,1
halic,201910024,2024,EDİRNE,1
halic,201910024,2024,İSTANBUL,91
halic,201910024,2024,İZMİR,4
halic,201910024,2024,KOCAELİ,1
halic,201910024,2024,MANİSA,1
halic,201910024,2024,MUĞLA,3
halic,201910024,2024,SAKARYA,1
halic,201910024,2024,TEKİRDAĞ,1
halic,201910078,2022,ANKARA,2
halic,201910078,2022,ANTALYA,4
halic,201910078,2022,AYDIN,1
halic,201910078,2022,BOLU,2
halic,201910078,2022,BURDUR,1
halic,201910078,2022,BURSA,2
halic,201910078,2022,DÜZCE,2
halic,201910078,2022,ELAZIĞ,1
halic,201910078,2022,ESKİŞEHİR,4
halic,201910078,2022,ISPARTA,1
halic,201910078,2022,İSTANBUL,234
halic,201910078,2022,İZMİR,4
halic,201910078,2022,KAYSERİ,1
halic,201910078,2022,KKTC-LEFKOŞA,1
halic,201910078,2022,KOCAELİ,1
halic,201910078,2022,KONYA,2
halic,201910078,2022,MUĞLA,1
halic,201910078,2022,SAKARYA,1
halic,201910078,2022,SAMSUN,1
halic,201910078,2023,ANKARA,3
halic,201910078,2023,İSTANBUL,182
halic,201910078,2023,İZMİR,1
halic,201910078,2023,KAYSERİ,2
