source_university,yop_kodu,year,program,tercih_sayisi
halic,201910015,2024,Amerikan Kültürü Ve Edebiyatı,6
halic,201910015,2024,Arkeoloji,1
halic,201910015,2024,Fransızca Mütercim Ve Tercümanlık,1
halic,201910015,2024,Gazetecilik,2
halic,201910015,2024,İngiliz Dili Ve Edebiyatı,15
halic,201910015,2024,İngilizce Mütercim Ve Tercümanlık,1
halic,201910015,2024,İngilizce Öğretmenliği,4
halic,201910015,2024,Psikoloji,8
halic,201910015,2024,Sanat Tarihi,2
halic,201910015,2024,Turizm Rehberliği,1
halic,201910024,2022,Amerikan Kültürü ve Edebiyatı,21
halic,201910024,2022,Coğrafya,1
halic,201910024,2022,Çeviribilimi,1
halic,201910024,2022,Dilbilimi,1
halic,201910024,2022,Fotoğraf ve Video,1
halic,201910024,2022,Gazetecilik,1
halic,201910024,2022,Halkla İlişkiler ve Tanıtım,1
halic,201910024,2022,İngiliz Dili ve Edebiyatı,31
halic,201910024,2022,İngilizce Mütercim ve Tercümanlık (Fakülte),29
halic,201910024,2022,İngilizce Mütercim ve Tercümanlık (Yüksekokul),2
halic,201910024,2022,İngilizce Öğretmenliği,27
halic,201910024,2022,Karşılaştırmalı Edebiyat,1
halic,201910024,2022,"Radyo, Televizyon ve Sinema",2
halic,201910024,2022,Rus Dili ve Edebiyatı,1
halic,201910024,2022,Sanat ve Kültür Yönetimi,1
halic,201910024,2023,Almanca Mütercim ve Tercümanlık (Fakülte),2
halic,201910024,2023,Amerikan Kültürü ve Edebiyatı,24
halic,201910024,2023,Bankacılık ve Sigortacılık (Yüksekokul),1
halic,201910024,2023,Çeviribilimi,2
halic,201910024,2023,Dilbilimi,1
halic,201910024,2023,Fransızca Mütercim ve Tercümanlık,4
halic,201910024,2023,Fransızca Öğretmenliği,3
halic,201910024,2023,İngiliz Dilbilimi,2
halic,201910024,2023,İngiliz Dili ve Edebiyatı,27
halic,201910024,2023,İngilizce Mütercim ve Tercümanlık (Fakülte),24
halic,201910024,2023,İngilizce Mütercim ve Tercümanlık (Yüksekokul),1
halic,201910024,2023,İngilizce Öğretmenliği,17
halic,201910024,2023,İspanyol Dili ve Edebiyatı,1
halic,201910024,2023,Ön Lisans,3
halic,201910024,2023,Yönetim Bilişim Sistemleri (Açıköğretim),1
halic,201910024,2024,Alman Dili Ve Edebiyatı,6
halic,201910024,2024,Almanca Mütercim Ve Tercümanlık,1
halic,201910024,2024,Almanca Öğretmenliği,2
halic,201910024,2024,Amerikan Kültürü Ve Edebiyatı,34
halic,201910024,2024,Dilbilimi,8
halic,201910024,2024,Film Tasarımı Ve Yönetimi,2
halic,201910024,2024,Fransız Dili Ve Edebiyatı,5
halic,201910024,2024,Fransızca Mütercim Ve Tercümanlık,11
halic,201910024,2024,Fransızca Öğretmenliği,3
halic,201910024,2024,İngiliz Dili Ve Edebiyatı,72
halic,201910024,2024,İngilizce Mütercim Ve Tercümanlık,51
halic,201910024,2024,İngilizce Öğretmenliği,39
halic,201910024,2024,İspanyol Dili Ve Edebiyatı,5
halic,201910024,2024,İtalyan Dili Ve Edebiyatı,3
halic,201910024,2024,Karşılaştırmalı Edebiyat,2
halic,201910024,2024,Kore Dili Ve Edebiyatı,2
halic,201910024,2024,Rus Dili Ve Edebiyatı,2
halic,201910024,2024,Rusça Mütercim Ve Tercümanlık,1
halic,201910024,2024,Turizm Rehberliği,5
halic,201910024,2024,Türk Dili Ve Edebiyatı,1
halic,201910024,2024,Çin Dili Ve Edebiyatı,1
halic,201910024,2024,Çizgi Film Ve Animasyon,3
halic,201910078,2022,Acil Yardım ve Afet Yönetimi (Yüksekokul),1
halic,201910078,2022,Beslenme ve Diyetetik (Fakülte),7
halic,201910078,2022,Bilgi Güvenliği Teknolojisi (Fakülte),1
halic,201910078,2022,Elektronik Ticaret ve Yönetimi,2
