source_university,yop_kodu,year,universite,tercih_sayisi,university_type
fsm,201490083,2025,DOĞUŞ ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,7,devlet
fsm,201490083,2025,HALİÇ ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,4,devlet
fsm,201490083,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,4,devlet
fsm,201490083,2025,İSTANBUL BEYKENT ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL ESENYURT ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL GALATA ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL OKAN ÜNİVERSİTESİ,1,devlet
fsm,201490083,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,4,devlet
fsm,201490083,2025,İSTANBUL ÜNİVERSİTESİ,4,vakif
fsm,201490083,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,1,vakif
fsm,201490083,2025,MARMARA ÜNİVERSİTESİ,1,vakif
fsm,201490083,2025,NECMETTİN ERBAKAN ÜNİVERSİTESİ,1,vakif
fsm,201490083,2025,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,1,vakif
fsm,201490082,2025,ANADOLU ÜNİVERSİTESİ,1,devlet
fsm,201490082,2025,ANKARA ÜNİVERSİTESİ,2,devlet
fsm,201490082,2025,BOĞAZİÇİ ÜNİVERSİTESİ,1,devlet
fsm,201490082,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,1,devlet
fsm,201490082,2025,ERCİYES ÜNİVERSİTESİ,3,devlet
fsm,201490082,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,1,devlet
fsm,201490082,2025,İSTANBUL ÜNİVERSİTESİ,6,devlet
fsm,201490082,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,1,devlet
fsm,201490082,2025,MARMARA ÜNİVERSİTESİ,1,devlet
fsm,201490082,2025,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,1,devlet
fsm,201490082,2025,BİRUNİ ÜNİVERSİTESİ,1,vakif
fsm,201490082,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,4,vakif
fsm,201490082,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,2,vakif
fsm,201490082,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,3,vakif
fsm,201490082,2025,KAPADOKYA ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,3,devlet
fsm,201410189,2025,ALTINBAŞ ÜNİVERSİTESİ,3,devlet
fsm,201410189,2025,ANKARA BİLİM ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,BAHÇEŞEHİR ÜNİVERSİTESİ,3,devlet
fsm,201410189,2025,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,BİRUNİ ÜNİVERSİTESİ,9,devlet
fsm,201410189,2025,DOĞUŞ ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,74,devlet
fsm,201410189,2025,HALİÇ ÜNİVERSİTESİ,3,devlet
fsm,201410189,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,5,devlet
fsm,201410189,2025,İSTANBUL AREL ÜNİVERSİTESİ,8,devlet
fsm,201410189,2025,İSTANBUL ATLAS ÜNİVERSİTESİ,8,devlet
fsm,201410189,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,4,devlet
fsm,201410189,2025,İSTANBUL BEYKENT ÜNİVERSİTESİ,6,devlet
fsm,201410189,2025,İSTANBUL BİLGİ ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,İSTANBUL GALATA ÜNİVERSİTESİ,2,devlet
fsm,201410189,2025,İSTANBUL GEDİK ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,İSTANBUL GELİŞİM ÜNİVERSİTESİ,4,devlet
fsm,201410189,2025,İSTANBUL KENT ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,5,devlet
fsm,201410189,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,4,devlet
fsm,201410189,2025,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,İSTANBUL RUMELİ ÜNİVERSİTESİ,2,devlet
fsm,201410189,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,12,devlet
fsm,201410189,2025,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,11,devlet
fsm,201410189,2025,İSTANBUL TİCARET ÜNİVERSİTESİ,22,devlet
fsm,201410189,2025,İSTANBUL TOPKAPI ÜNİVERSİTESİ,12,devlet
fsm,201410189,2025,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,İSTİNYE ÜNİVERSİTESİ,6,devlet
fsm,201410189,2025,İZMİR EKONOMİ ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,İZMİR TINAZTEPE ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,KTO KARATAY ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,MALTEPE ÜNİVERSİTESİ,2,devlet
fsm,201410189,2025,MEF ÜNİVERSİTESİ,3,devlet
fsm,201410189,2025,SABANCI ÜNİVERSİTESİ,1,devlet
fsm,201410189,2025,ÜSKÜDAR ÜNİVERSİTESİ,12,devlet
fsm,201410189,2025,AFYON KOCATEPE ÜNİVERSİTESİ,2,vakif
fsm,201410189,2025,AMASYA ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,ANKARA ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,BALIKESİR ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,BARTIN ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,BURSA TEKNİK ÜNİVERSİTESİ,2,vakif
fsm,201410189,2025,BURSA ULUDAĞ ÜNİVERSİTESİ,2,vakif
fsm,201410189,2025,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,3,vakif
fsm,201410189,2025,DÜZCE ÜNİVERSİTESİ,2,vakif
fsm,201410189,2025,EGE ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,2,vakif
fsm,201410189,2025,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,GEBZE TEKNİK ÜNİVERSİTESİ,4,vakif
fsm,201410189,2025,HACETTEPE ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,6,vakif
fsm,201410189,2025,İSTANBUL TEKNİK ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,İSTANBUL ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,6,vakif
fsm,201410189,2025,KARABÜK ÜNİVERSİTESİ,3,vakif
fsm,201410189,2025,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,2,vakif
fsm,201410189,2025,KIRKLARELİ ÜNİVERSİTESİ,3,vakif
fsm,201410189,2025,KOCAELİ ÜNİVERSİTESİ,4,vakif
fsm,201410189,2025,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,3,vakif
fsm,201410189,2025,MARMARA ÜNİVERSİTESİ,13,vakif
fsm,201410189,2025,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,NECMETTİN ERBAKAN ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,2,vakif
fsm,201410189,2025,SAKARYA ÜNİVERSİTESİ,4,vakif
fsm,201410189,2025,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,TRAKYA ÜNİVERSİTESİ,3,vakif
fsm,201410189,2025,UŞAK ÜNİVERSİTESİ,1,vakif
fsm,201410189,2025,YALOVA ÜNİVERSİTESİ,3,vakif
fsm,201410189,2025,YILDIZ TEKNİK ÜNİVERSİTESİ,1,vakif
fsm,201410171,2025,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,ALTINBAŞ ÜNİVERSİTESİ,4,devlet
fsm,201410171,2025,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,2,devlet
fsm,201410171,2025,BİRUNİ ÜNİVERSİTESİ,5,devlet
fsm,201410171,2025,DOĞUŞ ÜNİVERSİTESİ,5,devlet
fsm,201410171,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,12,devlet
fsm,201410171,2025,İSTANBUL ATLAS ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,İSTANBUL BEYKENT ÜNİVERSİTESİ,5,devlet
fsm,201410171,2025,İSTANBUL BİLGİ ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,İSTANBUL GALATA ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,İSTANBUL GELİŞİM ÜNİVERSİTESİ,3,devlet
fsm,201410171,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,3,devlet
fsm,201410171,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,3,devlet
fsm,201410171,2025,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,İSTANBUL OKAN ÜNİVERSİTESİ,3,devlet
fsm,201410171,2025,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,5,devlet
fsm,201410171,2025,İSTANBUL TİCARET ÜNİVERSİTESİ,4,devlet
fsm,201410171,2025,İSTİNYE ÜNİVERSİTESİ,4,devlet
fsm,201410171,2025,KOÇ ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,MEF ÜNİVERSİTESİ,1,devlet
fsm,201410171,2025,PİRİ REİS ÜNİVERSİTESİ,2,devlet
fsm,201410171,2025,ÜSKÜDAR ÜNİVERSİTESİ,2,devlet
fsm,201410171,2025,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,1,vakif
fsm,201410171,2025,BURSA TEKNİK ÜNİVERSİTESİ,5,vakif
fsm,201410171,2025,DOKUZ EYLÜL ÜNİVERSİTESİ,1,vakif
fsm,201410171,2025,DÜZCE ÜNİVERSİTESİ,1,vakif
fsm,201410171,2025,ERCİYES ÜNİVERSİTESİ,1,vakif
fsm,201410171,2025,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,1,vakif
fsm,201410171,2025,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,2,vakif
fsm,201410171,2025,GAZİANTEP ÜNİVERSİTESİ,1,vakif
fsm,201410171,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,6,vakif
